"","Dendrogram_red_turquoise_black_brown.group_1","Dendrogram_red_turquoise_black_brown.group_2","Dendrogram_red_turquoise_black_brown.group_3","Dendrogram_red_turquoise_black_brown.group_4","Dendrogram_red_turquoise_black_brown.group_7","Dendrogram_red_turquoise_black_brown.group_8","Dendrogram_red_turquoise_black_brown.group_9","Dendrogram_yellow_blue_green.group_1","Dendrogram_yellow_blue_green.group_2","Dendrogram_yellow_blue_green.group_3","Dendrogram_yellow_blue_green.group_4","Dendrogram_yellow_blue_green.group_5","Dendrogram_yellow_blue_green.group_6","Dendrogram_red_turquoise_black_brown.group_combined_1"
"LP.01.01",0.166128002956837,0.162987207269381,0.11206282785241,0.151471502131222,0.188658112496039,0.16108467187599,0.180778584172621,0.172716828671146,0.190505836387658,0.156570654018346,0.166362356853135,0.155311968489493,0.187947673236887,0.139625360792338
"LP.01.02",0.152054942300426,0.172599562555555,0.0878784775098042,0.129547517073102,0.198476458579257,0.231345472444844,0.170337564538688,0.242489587861231,0.25173229525932,0.171468137492016,0.153104797472168,0.141348689081293,0.214676434899758,0.118569073194854
"LP.01.03",0.156759287047934,0.147994345821077,0.0974122803844579,0.129045357684026,0.202418514152869,0.213318388930186,0.197371792679722,0.224908949619635,0.254221246348066,0.209216381688927,0.16689539441517,0.13830733103539,0.182360410890612,0.152690752345222
"LP.01.04",0.182099869478718,0.181513694224823,0.179857020240627,0.201974910321016,0.168491409695773,0.126472558772558,0.115667562088998,0.168296197294395,0.118176052392164,0.156583282654185,0.187897041482413,0.237931330938648,0.232988703652565,0.139691819198139
"LP.01.10",0.179094478860732,0.146936599975145,0.176010741774271,0.160974825220607,0.180249847460763,0.179448755362613,0.185064286171515,0.154203278305099,0.185179731955199,0.151488154140014,0.182954904076545,0.160285167182158,0.150173757986071,0.148147086077962
"LP.01.12",0.169242967064243,0.165164344148292,0.160457086927055,0.140827252398284,0.201485274238233,0.226282375462704,0.217738517464081,0.207690313863848,0.251530241928091,0.208039758231213,0.165308941298182,0.155432751873686,0.186319932769946,0.163349178591534
"LP.01.14",0.17131226672465,0.175242465265368,0.198163412533729,0.18868236092118,0.168109306829076,0.162935412702735,0.184480140789767,0.112021573666627,0.128991040753676,0.18453906469328,0.206132495834348,0.14971256465823,0.118857387670716,0.214555896479434
"LP.01.16",0.176842171664977,0.183193624094091,0.203942048552974,0.19411553509807,0.167298124781327,0.166436492894023,0.182737089436819,0.132442471125605,0.142282149939326,0.202765794249794,0.198561976025429,0.172111857488926,0.14274158300638,0.217879715328178
"LP.01.18",0.192703101854881,0.189377225232481,0.167979761452953,0.187750508994318,0.190008676111131,0.165549922956756,0.181107267296659,0.141413130254231,0.139047921724636,0.210596371903055,0.173159976904427,0.123068886490362,0.140064755093785,0.200480731395461
"LP.01.19",0.181884058137095,0.174077241697463,0.134456551729288,0.152027835008951,0.201221652806859,0.196069996479113,0.215467309161389,0.209716074515903,0.236299268481501,0.213452135878109,0.170365377540555,0.142916628665764,0.190756480602315,0.182910128203737
"LP.01.20",0.186178512944913,0.153737073500025,0.152088528435488,0.188645429018558,0.154380078410232,0.160669540082939,0.141538851508408,0.158450268677468,0.159803574380195,0.140015963241857,0.169568936723912,0.204012643493129,0.191929998885345,0.140289291684278
"LP.01.22",0.183991124231976,0.175750311903391,0.0426967026227313,0.157613950357227,0.183262338992143,0.0976108950653132,0.0842747852079153,0.203715135912021,0.13562623218484,0.109455740086955,0.177596473484517,0.176739776323442,0.234094151807208,0.0638627534089348
"LP.01.24",0.173164119024183,0.188480297428311,0.196712605865278,0.157261577966959,0.174352823011273,0.207971103142987,0.219237538321716,0.193638605823851,0.209587870714502,0.214683315960393,0.204995120589476,0.182964408208476,0.169494070294465,0.201600741277322
"LP.01.25",0.184411887072819,0.194527832555823,0.152875294124121,0.168653795608807,0.197242391045795,0.20865012159564,0.217691471653593,0.184432756368418,0.206557552827368,0.195050553112598,0.158006874923848,0.146050787746172,0.154849318770496,0.195536735857839
"LP.01.28",0.156000959366174,0.166175002355754,0.11950273132139,0.157056044552754,0.189233595375764,0.230470658022759,0.190283661551206,0.210036232801519,0.23229443357831,0.202920936242185,0.170237580873146,0.178269113082528,0.187283236286608,0.15632555685069
"LP.01.31",0.166401356941382,0.164619315133701,0.0873668697571732,0.142216545828292,0.194951655785981,0.172974930969524,0.117550529358645,0.227511237756571,0.185823907043527,0.150730486959785,0.160505135802649,0.165320283726003,0.224822795712951,0.104155317075427
"LP.01.35",0.180310599909871,0.181795977124586,0.218949263002379,0.177454194035314,0.18876932616331,0.19975145231336,0.234605212599735,0.140798816200246,0.182643835366668,0.192678703406967,0.177887360263164,0.132968114821729,0.116817727808235,0.248963542084555
"LP.01.40",0.20835991618269,0.209950552748701,0.241876689618631,0.233806799686788,0.180886276509397,0.180722448816297,0.16591453162763,0.158013591186503,0.123438338992561,0.192879041360251,0.228506272309646,0.169517899731737,0.155906863043699,0.222980790397196
"LP.01.42",0.205921245670479,0.207424010705592,0.215476519042792,0.221454574303787,0.164025559482002,0.147486403656678,0.175259779053622,0.154773222789212,0.128959096023225,0.166513539584873,0.184527899117964,0.192847175228731,0.17850889851554,0.211112557312551
"LP.01.46",0.138493812470584,0.151982001236555,0.121430687164244,0.130134891076738,0.171932548508404,0.136630475354649,0.157262219006986,0.17335091993143,0.175058488999827,0.172035810703811,0.152598743880832,0.165434045459467,0.165748018364558,0.123720363068733
"LP.01.58",0.211203352745043,0.200130195460039,0.241621946336148,0.227915358730951,0.176214157859995,0.207807399154585,0.170448022572994,0.152679817297888,0.131721267211131,0.146418325215651,0.167641944756515,0.186148611349306,0.14869713658683,0.213489807158213
"LP.01.61",0.211914742195708,0.209729432320104,0.167818667435021,0.201896028240747,0.176972814703542,0.126325603028622,0.139489255440232,0.211083457207731,0.133062859694282,0.151220359506577,0.178359747202311,0.208691780232386,0.219978631188857,0.137421319634166
"LP.01.66",0.178378573270552,0.16836632472706,0.18561984073027,0.184333182704451,0.15731689002664,0.140724491538508,0.173937219142392,0.112267105654884,0.118885024935157,0.171507485931529,0.181819249964322,0.162218653555616,0.118610382378911,0.202420361267062
"LP.01.67",0.175678059786871,0.198818015622168,0.162039452649886,0.165410608664115,0.200745650537562,0.247103151799953,0.246009768731061,0.22768475235717,0.259055019949224,0.216344164391988,0.167948138792804,0.163638942173547,0.197094074750361,0.200193794799602
"LP.01.68",0.150298412244736,0.15254112417037,0.101114345269066,0.112391603413734,0.197331363376894,0.209991847461291,0.197282386648517,0.200676637413408,0.238587968137386,0.200002641306026,0.167039747874645,0.118611188511222,0.168223930257944,0.1451373132599
"Test.FFPE.01",0.190567252054228,0.20727510152025,0.236774333921815,0.211738604982612,0.168555013874572,0.172970484114282,0.162078835908336,0.202995953782648,0.14714402241515,0.155979275859359,0.178048748440414,0.237577286966953,0.207623249651942,0.182614612569358
"Test.FFPE.03",0.179157738098933,0.211048765773892,0.24572473000017,0.169133526475136,0.18473293866275,0.198502450871127,0.227709025552042,0.16562191866306,0.185358670426826,0.22257775950772,0.199310805472712,0.186316500432788,0.181626995240758,0.239919386701171
"Test.FFPE.04",0.139808489745247,0.153978657991433,0.173959564782738,0.177503891430026,0.158436253464146,0.150905315926784,0.150129422791377,0.149590304218887,0.152828091653413,0.163814997087218,0.180236405403833,0.202015271512306,0.151791456176171,0.153638300590864
"Test.FFPE.05",0.186135369770313,0.190457888634548,0.27735054821095,0.228902920900362,0.144320389560428,0.169726558918722,0.176681881320718,0.102278240219889,0.116036054521928,0.182158391466388,0.213034721000529,0.21507735768628,0.121264364445999,0.247111809835987
"Test.FFPE.06",0.171890419815163,0.173295028782297,0.198564452482321,0.216360409396583,0.162536486951999,0.129542343125756,0.147549453830042,0.217469120881039,0.146087753081866,0.134166304554757,0.157581152026341,0.265324805586792,0.227510351670117,0.151344864750393
"Test.FFPE.08",0.225851242811287,0.175873177658948,0.238557325545482,0.209699416113589,0.152065113970964,0.124873938083417,0.12319086204476,0.131658678838864,0.0992364905631411,0.151008752355845,0.193817797892609,0.225748132033132,0.196728476880334,0.174235127251252
