"Cell_subgroups","Methods-signatures"
"B.cells_Subgroup.1.Iteration.1","Quantiseq_B.cells
DeconRNASeq_TIL10_B.cells
DeconRNASeq_CCLE.TIL10_B.cells
CBSX_TIL10_B.cells
XCell_B.cells
CBSX_CCLE.TIL10_B.cells
CBSX_CBSX.Melanoma.scRNAseq_B.cells
CBSX_BPRNACan3DProMet_B.cells
MCP_B.cells"
"B.cells_Subgroup.1.Iteration.2","DeconRNASeq_BPRNACan3DProMet_B.cells
B.cells_Subgroup.1.Iteration.1"
"B.cells_Subgroup.2.Iteration.2","DeconRNASeq_CBSX.HNSCC.scRNAseq_B.cells
DeconRNASeq_CBSX.Melanoma.scRNAseq_B.cells"
"B.memory_Subgroup.1.Iteration.1","DeconRNASeq_LM22_B.memory.cells
CBSX_LM22_B.memory.cells"
"Macrophages.cells_Subgroup.1.Iteration.1","DeconRNASeq_CBSX.HNSCC.scRNAseq_Macrophages.cells
CBSX_CBSX.HNSCC.scRNAseq_Macrophages.cells
CBSX_CBSX.Melanoma.scRNAseq_Macrophages.cells"
"Macrophages.cells_Subgroup.2.Iteration.1","DeconRNASeq_CBSX.Melanoma.scRNAseq_Macrophages.cells
Epidish_CBSX.Melanoma.scRNAseq_Macrophages.cells"
"Macrophages.M0_Subgroup.1.Iteration.1","Epidish_LM22_Macrophages.M0
CBSX_LM22_Macrophages.M0"
"Macrophages.M1_Subgroup.1.Iteration.1","DeconRNASeq_CCLE.TIL10_Macrophages.M1
Epidish_CCLE.TIL10_Macrophages.M1
DeconRNASeq_TIL10_Macrophages.M1
CBSX_CCLE.TIL10_Macrophages.M1"
"Macrophages.M1_Subgroup.2.Iteration.1","DeconRNASeq_LM22_Macrophages.M1
CBSX_LM22_Macrophages.M1"
"Macrophages.M2_Subgroup.1.Iteration.1","Quantiseq_Macrophages.M2
DeconRNASeq_CCLE.TIL10_Macrophages.M2"
"Macrophages.M2_Subgroup.2.Iteration.1","DeconRNASeq_TIL10_Macrophages.M2
Epidish_TIL10_Macrophages.M2"
"Macrophages.M2_Subgroup.3.Iteration.1","DeconRNASeq_LM22_Macrophages.M2
Epidish_LM22_Macrophages.M2
CBSX_LM22_Macrophages.M2"
"Macrophages.M2_Subgroup.1.Iteration.2","Macrophages.M2_Subgroup.1.Iteration.1
Macrophages.M2_Subgroup.2.Iteration.1"
"Monocytes_Subgroup.1.Iteration.1","DeconRNASeq_CBSX.NSCLC.PBMCs.scRNAseq_Monocytes
Epidish_CBSX.NSCLC.PBMCs.scRNAseq_Monocytes"
"Monocytes_Subgroup.2.Iteration.1","Epidish_CCLE.TIL10_Monocytes
DeconRNASeq_TIL10_Monocytes"
"Monocytes_Subgroup.4.Iteration.1","DeconRNASeq_LM22_Monocytes
Epidish_LM22_Monocytes
CBSX_LM22_Monocytes"
"Monocytes_Subgroup.1.Iteration.2","CBSX_CBSX.NSCLC.PBMCs.scRNAseq_Monocytes
Monocytes_Subgroup.1.Iteration.1"
"Monocytes_Subgroup.2.Iteration.2","CBSX_CCLE.TIL10_Monocytes
CBSX_TIL10_Monocytes"
"Neutrophils_Subgroup.2.Iteration.1","DeconRNASeq_CCLE.TIL10_Neutrophils
Epidish_CCLE.TIL10_Neutrophils
DeconRNASeq_TIL10_Neutrophils
CBSX_CCLE.TIL10_Neutrophils"
"Neutrophils_Subgroup.3.Iteration.1","Epidish_TIL10_Neutrophils
CBSX_TIL10_Neutrophils"
"Neutrophils_Subgroup.1.Iteration.2","DeconRNASeq_BPRNACan_Neutrophils
DeconRNASeq_LM22_Neutrophils"
"NK.cells_Subgroup.1.Iteration.1","DeconRNASeq_CBSX.NSCLC.PBMCs.scRNAseq_NK.cells
Epidish_CBSX.NSCLC.PBMCs.scRNAseq_NK.cells"
"NK.cells_Subgroup.1.Iteration.2","DeconRNASeq_CCLE.TIL10_NK.cells
DeconRNASeq_TIL10_NK.cells"
"CD4.cells_Subgroup.1.Iteration.1","DeconRNASeq_BPRNACan_CD4.cells
Epidish_BPRNACan3DProMet_CD4.cells
DeconRNASeq_BPRNACan3DProMet_CD4.cells"
"CD4.cells_Subgroup.2.Iteration.1","DeconRNASeq_CBSX.HNSCC.scRNAseq_CD4.cells
DeconRNASeq_CBSX.Melanoma.scRNAseq_CD4.cells
Epidish_CBSX.Melanoma.scRNAseq_CD4.cells
Epidish_CBSX.HNSCC.scRNAseq_CD4.cells
Epidish_CBSX.NSCLC.PBMCs.scRNAseq_CD4.cells"
"CD4.cells_Subgroup.3.Iteration.1","DeconRNASeq_CCLE.TIL10_CD4.cells
Epidish_CCLE.TIL10_CD4.cells
Epidish_TIL10_CD4.cells"
"CD4.memory.activated_Subgroup.1.Iteration.1","DeconRNASeq_LM22_T.cells.CD4.memory.activated
CBSX_LM22_T.cells.CD4.memory.activated"
"CD4.memory.resting_Subgroup.1.Iteration.1","Epidish_LM22_T.cells.CD4.memory.resting
CBSX_LM22_T.cells.CD4.memory.resting"
"CD8.cells_Subgroup.1.Iteration.1","MCP_CD8.cells
DeconRNASeq_CCLE.TIL10_CD8.cells
DeconRNASeq_BPRNACan_CD8.cells"
"CD8.cells_Subgroup.2.Iteration.1","XCell_CD8.cells
XCell_CD8.cells_central_memory
DeconRNASeq_CBSX.NSCLC.PBMCs.scRNAseq_CD8.cells"
"CD8.cells_Subgroup.3.Iteration.1","CBSX_CBSX.Melanoma.scRNAseq_CD8.cells
Epidish_LM22_CD8.cells"
"CD8.cells_Subgroup.4.Iteration.1","Epidish_CCLE.TIL10_CD8.cells
CBSX_CCLE.TIL10_CD8.cells
CBSX_LM22_CD8.cells"
"CD8.cells_Subgroup.1.Iteration.2","Epidish_BPRNACan_CD8.cells
CD8.cells_Subgroup.1.Iteration.1
CD8.cells_Subgroup.2.Iteration.1"
"CD8.cells_Subgroup.2.Iteration.2","DeconRNASeq_CBSX.HNSCC.scRNAseq_CD8.cells
CD8.cells_Subgroup.3.Iteration.1"
"CD8.cells_Subgroup.1.Iteration.3","CD8.cells_Subgroup.4.Iteration.1
CD8.cells_Subgroup.2.Iteration.2"
"CD8.cells_Subgroup.1.Iteration.4","CD8.cells_Subgroup.1.Iteration.2
CD8.cells_Subgroup.1.Iteration.3"
"T.cells.regulatory_Subgroup.1.Iteration.1","Quantiseq_T.cells.regulatory
Epidish_CCLE.TIL10_T.cells.regulatory"
"T.cells.regulatory_Subgroup.3.Iteration.1","Epidish_TIL10_T.cells.regulatory
CBSX_TIL10_T.cells.regulatory"
"T.cells.regulatory_Subgroup.1.Iteration.2","DeconRNASeq_CCLE.TIL10_T.cells.regulatory
DeconRNASeq_TIL10_T.cells.regulatory"
"T.cells.helper_Subgroup.1.Iteration.1","DeconRNASeq_LM22_T.cells.helper
Epidish_LM22_T.cells.helper"
"Cancer_Subgroup.1.Iteration.1","DeconRNASeq_BPRNACan3DProMet_Cancer
Epidish_BPRNACan3DProMet_Cancer
CBSX_BPRNACanProMet_Cancer
CBSX_BPRNACan3DProMet_Cancer"
"Endothelial_Subgroup.1.Iteration.1","MCP_Endothelial
DeconRNASeq_CBSX.Melanoma.scRNAseq_Endothelial
CBSX_CBSX.HNSCC.scRNAseq_Endothelial
XCell_Endothelial"
"Plasma.cells_Subgroup.1.Iteration.1","XCell_B_cell_Plasma.cells
DeconRNASeq_LM22_Plasma.cells"
"Plasma.cells_Subgroup.1.Iteration.2","CBSX_LM22_Plasma.cells
Plasma.cells_Subgroup.1.Iteration.1"
"Mast.resting_Subgroup.1.Iteration.1","DeconRNASeq_LM22_Mast.resting.cells
CBSX_LM22_Mast.resting.cells
Epidish_LM22_Mast.resting.cells"
"CAF_Subgroup.1.Iteration.1","Epidish_CBSX.HNSCC.scRNAseq_CAF
Epidish_CBSX.Melanoma.scRNAseq_CAF
CBSX_CBSX.Melanoma.scRNAseq_CAF
DeconRNASeq_CBSX.Melanoma.scRNAseq_CAF
CBSX_CBSX.HNSCC.scRNAseq_CAF"
