"","B cells","CD4+ T cells","CD8+ T cells","Dysfunctional","Endothelial cells","Epithelial/Cancer","Fibroblasts","Mast cells","Mural cells","Myeloid cells","Peripheral","Plasma B cells","T cells proliferative","T helper cells","T reg. cells","Tissue-resident"
"LP.01.01",5.57865693009946e-06,2.88522583743167e-06,0.00234286217692084,0.00689610116478453,0.11096099068863,0.680432885786584,0.130798224073219,0.00400510275375408,0.0309592873600218,0.0335791796966171,8.75382502443477e-06,1.81473805962252e-06,1.42022244435329e-06,8.03508813498436e-07,1.81025646346879e-06,2.29986589601975e-06
"LP.01.02",1.41430900477507e-06,1.62136829911383e-06,1.03831314748863e-06,7.90576588041559e-07,0.146664729957437,0.595938179290084,0.147685650311875,0.0160573386788421,0.0461627185161429,0.0474816414382255,1.22030821569539e-06,3.37966320853157e-07,1.12597919733079e-06,4.45903773433265e-07,1.12895232187777e-06,6.18130524347859e-07
"LP.01.03",3.50239228186781e-06,0.000100688454568761,7.20288925291055e-07,1.81649058158687e-06,0.121091845610441,0.698929992580361,0.102437199770709,0.011085940528352,0.0204386282038735,0.04589966896561,2.98510455697798e-06,1.12251545371616e-06,8.81672765712892e-07,6.63138895637624e-07,3.03668208190754e-06,1.30760054284502e-06
"LP.01.04",1.01915437152665e-06,4.49929942961824e-07,2.21944485568036e-06,1.84060210476383e-06,0.0632801359426141,0.732627923617312,0.0550228327343275,0.00213468607982624,0.0719428883698972,0.0105450019297458,9.07165990031856e-07,1.45562137711244e-06,0.00379771366156384,4.8944436881144e-07,5.35730159280184e-07,0.0606399005715434
"LP.01.10",0.00127560371323561,4.8910324247649e-06,0.00071445184089092,0.00120048569857686,0.0907162088529685,0.590209781209473,0.225348808557024,0.00968475131166771,0.0143556796950944,0.0461719514519062,0.0191359552323866,1.09925926827788e-06,0.00117693711785547,7.21899535916614e-07,1.41375101814675e-06,1.25937667242487e-06
"LP.01.12",1.41675950935027e-06,3.20273476938585e-06,1.05042493875722e-06,1.79285872559479e-06,0.262995000841359,0.314256158046479,0.260942074463955,0.00380734816113605,0.0551355035144842,0.102848536025015,3.0787699611259e-06,5.11720061130942e-07,8.05556157663058e-07,5.26138565972969e-07,1.42176709825427e-06,1.5722177850588e-06
"LP.01.14",0.037719687547693,6.51228393894225e-05,0.00682313878123392,0.00504625261023162,0.107819378277958,0.488575496414636,0.20114586512661,0.00631771252357857,0.0225481446691173,0.071490372471533,0.0142005230664288,0.00353663563725669,0.0347071459115771,9.90573223225146e-07,2.45323126771356e-06,1.08031826509135e-06
"LP.01.16",0.00603139297791604,0.0275913122152615,4.76490907427533e-06,2.29134901530834e-06,0.0699930233117517,0.3413802924219,0.356251041413435,0.0127253924895768,0.0112476575987632,0.11366730309627,0.00208517495267167,0.0249414475549202,0.0340713628029293,8.55780712433467e-07,4.52864175699788e-06,2.15848404479672e-06
"LP.01.18",7.58810403821005e-06,1.31182708436501e-05,0.0241924616999588,5.45273843666395e-05,0.0840135518925103,0.559330453611758,0.169006762123397,0.00430997790256635,0.0222409332355437,0.114690041326783,3.28102556661966e-06,5.74941715011358e-06,0.0221263077820182,6.23933468079598e-07,2.26134359103834e-06,2.36094643994089e-06
"LP.01.19",3.52368570840281e-06,0.0227587515725261,1.35091929553003e-06,2.67387364128234e-06,0.134321129331237,0.583003038024338,0.141926505301092,0.0213395733035187,0.0383745259044881,0.0582425401527832,2.3953976454902e-06,6.75707141073061e-07,6.53017292076552e-06,4.92951540828061e-07,1.42366515223665e-05,2.0570506011327e-06
"LP.01.20",3.33094236736579e-06,9.4780465861843e-07,1.02250599117388e-06,1.08109086716285e-06,0.0749906064536746,0.377993043228956,0.275905908558862,0.00749427678696282,0.139235065510534,0.0122141250014624,1.41530235339907e-06,0.00389527588222397,3.76854214197628e-06,0.108255877872237,3.08445710067167e-06,1.17005960687579e-06
"LP.01.22",1.12252610270539e-06,9.7362978875931e-07,1.08892837607674e-06,1.49450276963295e-06,0.0620258749716566,0.883552502870396,0.00814658161471571,0.000876003197516945,0.0424947976548186,0.00289212771896064,1.72818907171977e-06,1.29433764921798e-06,1.34193615629382e-06,6.22696699187073e-07,8.17059608507763e-07,1.62816571403391e-06
"LP.01.24",0.0106381302785593,0.0200137384257434,8.34627049520432e-06,3.48385218090947e-06,0.133763778691895,0.488249622707167,0.173132680775555,0.0294167835818557,0.0155771540471566,0.126071996263025,0.00311182900521343,3.40431778312448e-06,1.79549651493385e-06,6.81409892765695e-07,3.07007053318788e-06,3.50480642963257e-06
"LP.01.25",2.36876356631876e-06,0.0135762649605135,4.82362313443049e-06,2.71531742154826e-06,0.0922214747525166,0.529634332390065,0.231971824977585,0.00535548667573106,0.0250952250085262,0.0893047788561611,5.93959508354345e-06,0.0128193590933391,2.22887789199522e-06,5.88687839149408e-07,1.81936598962266e-06,7.69054635363707e-07
"LP.01.28",3.28568622046559e-06,2.48028283002612e-06,2.00068557548675e-06,2.02688402307354e-06,0.138702934884157,0.52622720311408,0.21879684204211,0.0143696183154763,0.0340779032468604,0.0678004214878684,1.81895785568213e-06,1.00758428786248e-05,1.00987945557861e-06,6.11881852364399e-07,1.22048129594711e-06,5.46327460634882e-07
"LP.01.31",1.29332286449771e-06,1.42146355556846e-06,2.50005390281493e-06,1.14563418841391e-06,0.111686259186426,0.731702136020779,0.0582433606802812,0.00451054897810216,0.0785824658481677,0.0152616839023051,9.88602050763986e-07,1.09404281856021e-06,1.11762424311965e-06,7.37854716008674e-07,1.37881731908803e-06,1.86796828051848e-06
"LP.01.35",0.00901003316070622,0.0955335910119603,1.01553527063717e-06,1.08524043400881e-06,0.0783334828307104,0.232579341266416,0.416224822957095,0.0126146862178731,0.00901814320437338,0.121727349288397,0.00287378913636423,0.0192713188716246,0.0028051861669647,7.22480015350849e-07,4.32201567242055e-06,1.11061612347644e-06
"LP.01.40",1.17999629771421e-06,1.21966597193946e-06,1.16159243435812e-05,1.97288218920198e-06,0.0973044013853902,0.211736859524436,0.158829997498875,0.0354832319924478,0.302722152269716,0.065172114183856,1.03727855833377e-06,4.96100306116218e-07,0.128731408150449,3.70115106429606e-07,6.63397676979756e-07,1.27963437964445e-06
"LP.01.42",8.29676610814528e-05,1.04252543311953e-05,1.74864289677628e-06,8.56795614279358e-07,0.043156338574545,0.409277637232825,0.285387690108536,0.0400615356236776,0.0435144267656354,0.0281208870202162,1.5653574452025e-06,0.0242965609298832,0.12608339740785,1.15143165581881e-06,1.98165811648775e-06,8.29535690648742e-07
"LP.01.46",0.00994529007207762,0.000122959500865871,0.0215335959430477,0.00101319295039481,0.0753840058442289,0.73168179720123,0.0730024155532878,0.0106052991606071,0.0294414949873461,0.0472521483919497,4.22703965777463e-06,1.59860217850114e-06,3.68598323166826e-06,1.11592345271551e-06,4.4662294578286e-06,2.70661698537558e-06
"LP.01.58",0.000321678414332665,1.59392185131955e-05,6.38640358951195e-06,3.63740153452822e-06,0.0806210395205966,0.380295057118028,0.350873057762649,0.0143203397503301,0.0576616698432672,0.0530291110598691,3.38715667580925e-06,0.0142398404126193,0.048602900715936,8.23447840517194e-07,4.13488585085573e-06,9.96888368311923e-07
"LP.01.61",1.11961523666845e-06,1.68841891520441e-06,7.52355519748058e-07,9.73030026223054e-07,0.0970977245479619,0.601336993267453,0.0572373993529842,0.0166213744710082,0.0425467876595303,0.0343043734057392,1.17026045562937e-06,1.00363613330888e-06,0.15084662695243,6.334497998972e-07,9.03534525078202e-07,4.76042281381017e-07
"LP.01.66",0.0830576664451046,0.0120061915630346,2.38328120646197e-06,4.66881115307409e-06,0.0762026731588811,0.369724587443477,0.275232235867148,0.00167019885591593,0.0071139860244953,0.0892380420746486,0.0303373626710581,0.0246774708488469,0.0307258213845607,7.09581422897091e-07,4.71036591381714e-06,1.29162313306649e-06
"LP.01.67",2.3437223679484e-06,0.0113724884869279,1.62664801089872e-06,2.19768237163496e-06,0.138948777114885,0.514603145641772,0.218717296878621,0.0259376068073537,0.0232090388206051,0.0671970028185241,1.44869084927779e-06,1.39628343988316e-06,1.51102069256941e-06,8.49635083649965e-07,1.87302288727951e-06,1.39672560772141e-06
"LP.01.68",0.00293323343361137,0.00593443699671442,1.68975269914498e-06,8.43904941541813e-07,0.134466975666344,0.55901380154753,0.137659897426517,0.0100410635968251,0.0219531959402584,0.127977297631035,1.12522819100121e-05,1.04162930223922e-06,1.38701519629322e-06,6.58786087704787e-07,2.23241446807406e-06,9.91976559970561e-07
"Test.FFPE.01",1.25278692597798e-06,2.10873430706167e-06,0.011027936115184,4.22626472284945e-06,0.0773857028594076,0.682127698655231,0.118372875082301,0.0130790403546265,0.0282365830232444,0.0332703749647528,2.55000488473806e-06,1.98601712050703e-06,0.0364477868461612,1.35424733085655e-06,1.57487355553917e-06,3.694917024468e-05
"Test.FFPE.03",2.28904279180506e-06,1.7784658490535e-06,0.0160664028739943,0.000375276862839527,0.0404116920550699,0.725826687085247,0.096015281690077,0.00193519006960045,5.04683493647186e-06,0.1167781394728,5.87638070028317e-06,0.00257236392147747,6.85097668687764e-07,6.84582111732785e-07,1.18251183928212e-06,1.42305299779575e-06
"Test.FFPE.04",0.00104237098119947,2.78834785004081e-06,0.00116900354645971,0.0042535816540679,0.129248329540837,0.591577130162563,0.186310702640794,0.00433648751668826,0.0195055376458189,0.0306986823417773,0.0103738413279706,0.0177251871735377,0.00375216035259566,7.40397545601909e-07,2.17105318020009e-06,1.28531711485009e-06
"Test.FFPE.05",0.00111237722797637,2.52458394719267e-06,0.0183001878504494,8.19159613099415e-06,0.0874249975204299,0.327232210086521,0.347688732508768,0.00117742973684542,0.000591625768283024,0.0899972709004578,0.0610472351417343,0.0385022433630879,0.0269101660312368,4.55097335386319e-07,3.37156381886752e-06,9.81022977178864e-07
"Test.FFPE.06",8.38878425369247e-07,8.82878478337952e-07,1.40114807915931e-06,1.19785114588979e-06,0.0874520441861056,0.609976944204058,0.201982923886167,0.0286352280408957,0.0162758122282596,0.0304090833620207,1.17223385724046e-06,0.00334365083765983,0.0219161471092413,5.04301127861841e-07,6.96804881343377e-07,1.47204959680135e-06
"Test.FFPE.08",6.36932880208571e-06,9.92088807916864e-07,1.16477379248155e-06,9.99821364595826e-07,0.099267808341452,0.457626666033406,0.187502618017985,0.00948604430051761,0.0662475783618899,0.0261472402547639,1.86912750005102e-06,5.43976070105476e-06,0.136965814160715,0.0121619933931346,0.00457654470114112,8.5753402609558e-07
